Source,Destination,Start,End,Md5,UploadId,Source Size,Bytes Transferred,Result,Description
file://.\Core\Reportes\rptPlanillasEspecialEnel.php,gs://lectalocal/MD/Core/Reportes/rptPlanillasEspecialEnel.php,2020-11-23T15:50:37.775970Z,2020-11-23T15:50:38.458985Z,FY7jWCnGIr3WSc2bbuSZlg==,,2772,2772,OK,
file://.\Core\web\buttons.html,gs://lectalocal/MD/Core/web/buttons.html,2020-11-23T15:50:37.922034Z,2020-11-23T15:50:38.550307Z,RzZB2iFOsU6EqRj6fX9p2A==,,27996,27996,OK,
file://.\Core\Reportes\rptDetalleActividadesEspecialEnelRangoDeFechas.php,gs://lectalocal/MD/Core/Reportes/rptDetalleActividadesEspecialEnelRangoDeFechas.php,2020-11-23T15:50:37.734142Z,2020-11-23T15:50:38.554272Z,NZpRwRON8bJgPCINKttzMg==,,6464,6464,OK,
file://.\Core\web\500.html,gs://lectalocal/MD/Core/web/500.html,2020-11-23T15:50:37.878903Z,2020-11-23T15:50:38.559299Z,1RCo6Cs35gO0Dl9FKa0VXA==,,16925,16925,OK,
file://.\Core\web\blank-page.html,gs://lectalocal/MD/Core/web/blank-page.html,2020-11-23T15:50:37.881904Z,2020-11-23T15:50:38.569314Z,H9Fb5jeqwZWWbYVOr6S2Eg==,,16815,16815,OK,
file://.\Core\web\404.html,gs://lectalocal/MD/Core/web/404.html,2020-11-23T15:50:37.806969Z,2020-11-23T15:50:38.622988Z,vVd/ovmLgATIUQ4b2Q+H9g==,,16914,16914,OK,
file://.\Core\web\compose.html,gs://lectalocal/MD/Core/web/compose.html,2020-11-23T15:50:38.214557Z,2020-11-23T15:50:38.852549Z,wiezH1CTFXxXgY0VddqrLw==,,19386,19386,OK,
file://.\Core\web\charts.html,gs://lectalocal/MD/Core/web/charts.html,2020-11-23T15:50:38.206560Z,2020-11-23T15:50:38.852549Z,QcrdsF+gNHBGixjBlRUtng==,,29954,29954,OK,
file://.\Core\web\forms.html,gs://lectalocal/MD/Core/web/forms.html,2020-11-23T15:50:38.223557Z,2020-11-23T15:50:38.863519Z,MlB9BdPLCMc3enJiDMF4Aw==,,32990,32990,OK,
file://.\Core\web\general.html,gs://lectalocal/MD/Core/web/general.html,2020-11-23T15:50:38.231563Z,2020-11-23T15:50:38.900520Z,NAT3zGDzdXKz+0o33gHvPw==,,37211,37211,OK,
file://.\Core\web\login.html,gs://lectalocal/MD/Core/web/login.html,2020-11-23T15:50:38.291620Z,2020-11-23T15:50:38.917556Z,1RFVSBhC9j5uHVNY4JqNjw==,,17048,17048,OK,
file://.\Core\web\grids.html,gs://lectalocal/MD/Core/web/grids.html,2020-11-23T15:50:38.244560Z,2020-11-23T15:50:38.918521Z,vF2mVycYAiIP14/fwGNurA==,,23419,23419,OK,
file://.\Core\web\media.html,gs://lectalocal/MD/Core/web/media.html,2020-11-23T15:50:38.300558Z,2020-11-23T15:50:38.933521Z,qwQFt1fnvghSkpraGVzULg==,,34690,34690,OK,
file://.\Core\web\w3layouts-License.txt,gs://lectalocal/MD/Core/web/w3layouts-License.txt,2020-11-23T15:50:38.434987Z,2020-11-23T15:50:38.949524Z,mx80YKcyrTiDa0/i7ijQfQ==,,2009,2009,OK,
file://.\Core\web\css\animate.css,gs://lectalocal/MD/Core/web/css/animate.css,2020-11-23T15:50:38.461030Z,2020-11-23T15:50:38.952519Z,OmqS/xjlNO0LnX+27/jMDA==,,1685,1685,OK,
file://.\Core\web\signup.html,gs://lectalocal/MD/Core/web/signup.html,2020-11-23T15:50:38.323561Z,2020-11-23T15:50:38.974522Z,p/bSJzVX57pdNMiKVDzfBQ==,,17728,17728,OK,
file://.\Core\web\css\custom.css,gs://lectalocal/MD/Core/web/css/custom.css,2020-11-23T15:50:38.560263Z,2020-11-23T15:50:39.031397Z,sOkKAK+SkrveckOMWQBJ9g==,,1771,1771,OK,
file://.\Core\web\tables.html,gs://lectalocal/MD/Core/web/tables.html,2020-11-23T15:50:38.412988Z,2020-11-23T15:50:39.057156Z,s7JbYhZ2bmnkrvA/tem+Mg==,,20141,20141,OK,
file://.\Core\web\typography.html,gs://lectalocal/MD/Core/web/typography.html,2020-11-23T15:50:38.420985Z,2020-11-23T15:50:39.071106Z,Lz1E/QoAKLFIJd36r5g0Mg==,,29384,29384,OK,
file://.\Core\web\inbox.html,gs://lectalocal/MD/Core/web/inbox.html,2020-11-23T15:50:38.258558Z,2020-11-23T15:50:39.073106Z,M1HX1aC3PRiAd04WbEgIjw==,,56852,56852,OK,
file://.\Core\web\widgets.html,gs://lectalocal/MD/Core/web/widgets.html,2020-11-23T15:50:38.435985Z,2020-11-23T15:50:39.088106Z,pbz8meO3m/sSQBKoeN6A2Q==,,42469,42469,OK,
file://.\Core\web\validation.html,gs://lectalocal/MD/Core/web/validation.html,2020-11-23T15:50:38.421985Z,2020-11-23T15:50:39.152967Z,jr36sHgFlksEG5LJbRduWA==,,22364,22364,OK,
file://.\Core\web\index.html,gs://lectalocal/MD/Core/web/index.html,2020-11-23T15:50:38.283558Z,2020-11-23T15:50:39.199220Z,utPXob4LVaNoPjuLo05iNg==,,47604,47604,OK,
file://.\Core\web\icons.html,gs://lectalocal/MD/Core/web/icons.html,2020-11-23T15:50:38.256557Z,2020-11-23T15:50:39.233119Z,SnGBlWg5XXXP96AKYU+6gw==,,136055,136055,OK,
file://.\Core\web\css\graph.css,gs://lectalocal/MD/Core/web/css/graph.css,2020-11-23T15:50:38.625009Z,2020-11-23T15:50:39.333713Z,vhaigXPWXxLqW6g4cVml/A==,,2520,2520,OK,
file://.\Core\web\css\export.css,gs://lectalocal/MD/Core/web/css/export.css,2020-11-23T15:50:38.570263Z,2020-11-23T15:50:39.343349Z,dOrNzFKGpK4ZL0ISyPQsOg==,,33687,33687,OK,
file://.\Core\web\css\font-awesome.css,gs://lectalocal/MD/Core/web/css/font-awesome.css,2020-11-23T15:50:38.571263Z,2020-11-23T15:50:39.415276Z,u1Ote//swAFNZFU+llAdzg==,,29062,29062,OK,
file://.\Core\web\css\jqcandlestick.css,gs://lectalocal/MD/Core/web/css/jqcandlestick.css,2020-11-23T15:50:38.854520Z,2020-11-23T15:50:39.624893Z,nBTDdpQkuY4bq1M0uVVweQ==,,164,164,OK,
file://.\Core\web\css\bootstrap.css,gs://lectalocal/MD/Core/web/css/bootstrap.css,2020-11-23T15:50:38.552264Z,2020-11-23T15:50:39.625892Z,AlMC/H2rTIGukIiC1OaB9Q==,,141598,141598,OK,
file://.\Core\web\css\owl.carousel.css,gs://lectalocal/MD/Core/web/css/owl.carousel.css,2020-11-23T15:50:38.865521Z,2020-11-23T15:50:39.625892Z,q40ChrZSzXOUHYbhvX8fHw==,,7829,7829,OK,
file://.\Core\web\css\monthly.css,gs://lectalocal/MD/Core/web/css/monthly.css,2020-11-23T15:50:38.856520Z,2020-11-23T15:50:39.625892Z,pFlvOVYSlmXlucO8Fxtmfg==,,8649,8649,OK,
file://.\Core\web\css\SidebarNav.min.css,gs://lectalocal/MD/Core/web/css/SidebarNav.min.css,2020-11-23T15:50:38.902522Z,2020-11-23T15:50:39.716940Z,QHmyvlkRngWdgxaF1OKnHA==,,1861,1861,OK,
file://.\Core\Archivos\Noticias\1554330008AnexosLumens1.docx,gs://lectalocal/MD/Core/Archivos/Noticias/1554330008AnexosLumens1.docx,2020-11-23T15:50:32.768992Z,2020-11-23T15:50:39.733916Z,d/EfqoJrhbnPly4WGjQoqQ==,,2903104,2903104,OK,
file://.\Core\web\images\2.jpg,gs://lectalocal/MD/Core/web/images/2.jpg,2020-11-23T15:50:39.201223Z,2020-11-23T15:50:39.918147Z,aDF1HukmMrwH1H5lFz65Ew==,,12921,12921,OK,
file://.\Core\web\images\4.jpg,gs://lectalocal/MD/Core/web/images/4.jpg,2020-11-23T15:50:39.335713Z,2020-11-23T15:50:39.964914Z,PfPnaK7SRgkjRUCbR84QmA==,,11413,11413,OK,
file://.\Core\web\images\1.jpg,gs://lectalocal/MD/Core/web/images/1.jpg,2020-11-23T15:50:39.155968Z,2020-11-23T15:50:39.964914Z,Os7CMQFxTR3FThjGxMAFIw==,,12509,12509,OK,
file://.\Core\web\images\3.jpg,gs://lectalocal/MD/Core/web/images/3.jpg,2020-11-23T15:50:39.235126Z,2020-11-23T15:50:39.971892Z,fb+RUUrDYGTw+8yhUU1gGQ==,,12402,12402,OK,
file://.\Core\web\images\a.png,gs://lectalocal/MD/Core/web/images/a.png,2020-11-23T15:50:39.344393Z,2020-11-23T15:50:39.977892Z,ExHcxYx6g2FB4EqcSjHplA==,,8535,8535,OK,
file://.\Core\web\fonts\glyphicons-halflings-regular.eot,gs://lectalocal/MD/Core/web/fonts/glyphicons-halflings-regular.eot,2020-11-23T15:50:39.059142Z,2020-11-23T15:50:39.981893Z,9Hafm9t0Zr5lCII5wSBG0Q==,,20127,20127,OK,
file://.\Core\web\fonts\glyphicons-halflings-regular.woff,gs://lectalocal/MD/Core/web/fonts/glyphicons-halflings-regular.woff,2020-11-23T15:50:39.075145Z,2020-11-23T15:50:39.982892Z,+idyMn9V2BmDAf24vPyBWA==,,23424,23424,OK,
file://.\Core\web\images\i1.png,gs://lectalocal/MD/Core/web/images/i1.png,2020-11-23T15:50:39.416274Z,2020-11-23T15:50:39.988895Z,25D9QejQobwVDLVq7zvAlQ==,,9963,9963,OK,
file://.\Core\web\fonts\glyphicons-halflings-regular.woff2,gs://lectalocal/MD/Core/web/fonts/glyphicons-halflings-regular.woff2,2020-11-23T15:50:39.088106Z,2020-11-23T15:50:39.989892Z,RIw0pW1pnCkRetxkxDr/6w==,,18028,18028,OK,
file://.\Core\web\fonts\fontawesome-webfont.eot,gs://lectalocal/MD/Core/web/fonts/fontawesome-webfont.eot,2020-11-23T15:50:38.923563Z,2020-11-23T15:50:40.001893Z,JaMkFqvuGY3YIbCxehmKjw==,,76518,76518,OK,
file://.\Core\web\fonts\fontawesome-webfont.woff2,gs://lectalocal/MD/Core/web/fonts/fontawesome-webfont.woff2,2020-11-23T15:50:38.976520Z,2020-11-23T15:50:40.028894Z,5s98bsfC1vZwrp12JgTLCw==,,71896,71896,OK,
file://.\Core\web\fonts\glyphicons-halflings-regular.ttf,gs://lectalocal/MD/Core/web/fonts/glyphicons-halflings-regular.ttf,2020-11-23T15:50:39.073106Z,2020-11-23T15:50:40.095894Z,4Yu/YR8qLkOvwHGqL04VEg==,,45404,45404,OK,
file://.\Core\web\images\i2.png,gs://lectalocal/MD/Core/web/images/i2.png,2020-11-23T15:50:39.627886Z,2020-11-23T15:50:40.190726Z,s4137gVgroa+CZ9O4FxNvg==,,10837,10837,OK,
file://.\Core\web\fonts\FontAwesome.otf,gs://lectalocal/MD/Core/web/fonts/FontAwesome.otf,2020-11-23T15:50:39.033400Z,2020-11-23T15:50:40.190726Z,XcQdj+Mpoi+h7pIlVxyEPg==,,124988,124988,OK,
file://.\Core\web\fonts\fontawesome-webfont.ttf,gs://lectalocal/MD/Core/web/fonts/fontawesome-webfont.ttf,2020-11-23T15:50:38.950557Z,2020-11-23T15:50:40.206683Z,HcNdJeYdgZqcNXB0AUhnqw==,,152796,152796,OK,
file://.\Core\web\css\style.css,gs://lectalocal/MD/Core/web/css/style.css,2020-11-23T15:50:38.919521Z,2020-11-23T15:50:40.207685Z,sO8asfGC9h70zVpgpqdnOQ==,,180088,180088,OK,
file://.\Core\web\images\i3.png,gs://lectalocal/MD/Core/web/images/i3.png,2020-11-23T15:50:39.629889Z,2020-11-23T15:50:40.235684Z,b1kVHFDX+gEwL8J+56688Q==,,10828,10828,OK,
